name,address,size,end,classification,confidence
func_001045B0,0x001045B0,0x8,0x001045B8,code,spimdisasm-explicit-size-before-first-data
func_001045B8,0x001045B8,0x28,0x001045E0,code,spimdisasm-explicit-size-before-first-data
func_001045E0,0x001045E0,0x28,0x00104608,code,spimdisasm-explicit-size-before-first-data
func_00104608,0x00104608,0x28,0x00104630,code,spimdisasm-explicit-size-before-first-data
func_00104630,0x00104630,0xA4,0x001046D4,code,spimdisasm-explicit-size-before-first-data
func_001046D8,0x001046D8,0x7C,0x00104754,code,spimdisasm-explicit-size-before-first-data
func_00104758,0x00104758,0x14,0x0010476C,code,spimdisasm-explicit-size-before-first-data
func_00104770,0x00104770,0xA4,0x00104814,code,spimdisasm-explicit-size-before-first-data
func_00104818,0x00104818,0x7C,0x00104894,code,spimdisasm-explicit-size-before-first-data
func_00104898,0x00104898,0x14,0x001048AC,code,spimdisasm-explicit-size-before-first-data
func_001048B0,0x001048B0,0x10,0x001048C0,code,spimdisasm-explicit-size-before-first-data
func_001048C0,0x001048C0,0x68,0x00104928,code,spimdisasm-explicit-size-before-first-data
func_00104928,0x00104928,0x68,0x00104990,code,spimdisasm-explicit-size-before-first-data
func_00104990,0x00104990,0x68,0x001049F8,code,spimdisasm-explicit-size-before-first-data
func_001049F8,0x001049F8,0x68,0x00104A60,code,spimdisasm-explicit-size-before-first-data
func_00104A60,0x00104A60,0x20,0x00104A80,code,spimdisasm-explicit-size-before-first-data
func_00104A80,0x00104A80,0x20,0x00104AA0,code,spimdisasm-explicit-size-before-first-data
func_00104AA0,0x00104AA0,0x20,0x00104AC0,code,spimdisasm-explicit-size-before-first-data
func_00104AC0,0x00104AC0,0x20,0x00104AE0,code,spimdisasm-explicit-size-before-first-data
func_00104AE0,0x00104AE0,0xD8,0x00104BB8,code,spimdisasm-explicit-size-before-first-data
func_00104BB8,0x00104BB8,0xD4,0x00104C8C,code,spimdisasm-explicit-size-before-first-data
func_00104C90,0x00104C90,0x94,0x00104D24,code,spimdisasm-explicit-size-before-first-data
func_00104D28,0x00104D28,0x7C,0x00104DA4,code,spimdisasm-explicit-size-before-first-data
func_00104DA8,0x00104DA8,0x98,0x00104E40,code,spimdisasm-explicit-size-before-first-data
func_00104E40,0x00104E40,0x44,0x00104E84,code,spimdisasm-explicit-size-before-first-data
func_00104E88,0x00104E88,0x24,0x00104EAC,code,spimdisasm-explicit-size-before-first-data
func_00104EB0,0x00104EB0,0x30,0x00104EE0,code,spimdisasm-explicit-size-before-first-data
func_00104EE0,0x00104EE0,0x24,0x00104F04,code,spimdisasm-explicit-size-before-first-data
func_00104F08,0x00104F08,0x34,0x00104F3C,code,spimdisasm-explicit-size-before-first-data
func_00104F40,0x00104F40,0x34,0x00104F74,code,spimdisasm-explicit-size-before-first-data
func_00104F78,0x00104F78,0x30,0x00104FA8,code,spimdisasm-explicit-size-before-first-data
func_00104FA8,0x00104FA8,0x24,0x00104FCC,code,spimdisasm-explicit-size-before-first-data
func_00104FD0,0x00104FD0,0x24,0x00104FF4,code,spimdisasm-explicit-size-before-first-data
func_00104FF8,0x00104FF8,0x24,0x0010501C,code,spimdisasm-explicit-size-before-first-data
func_00105020,0x00105020,0x24,0x00105044,code,spimdisasm-explicit-size-before-first-data
func_00105048,0x00105048,0x3C,0x00105084,code,spimdisasm-explicit-size-before-first-data
func_00105088,0x00105088,0x3C,0x001050C4,code,spimdisasm-explicit-size-before-first-data
func_001050C8,0x001050C8,0x194,0x0010525C,code,spimdisasm-explicit-size-before-first-data
func_00105260,0x00105260,0x150,0x001053B0,code,spimdisasm-explicit-size-before-first-data
func_001053B0,0x001053B0,0xD0,0x00105480,code,spimdisasm-explicit-size-before-first-data
func_00105480,0x00105480,0xBC,0x0010553C,code,spimdisasm-explicit-size-before-first-data
func_00105540,0x00105540,0x38,0x00105578,code,spimdisasm-explicit-size-before-first-data
func_00105578,0x00105578,0xB0,0x00105628,code,spimdisasm-explicit-size-before-first-data
func_00105628,0x00105628,0x34,0x0010565C,code,spimdisasm-explicit-size-before-first-data
func_00105660,0x00105660,0x90,0x001056F0,code,spimdisasm-explicit-size-before-first-data
func_001056F0,0x001056F0,0x168,0x00105858,code,spimdisasm-explicit-size-before-first-data
func_00105858,0x00105858,0x5EC,0x00105E44,code,spimdisasm-explicit-size-before-first-data
func_00105E48,0x00105E48,0x38,0x00105E80,code,spimdisasm-explicit-size-before-first-data
func_00105E80,0x00105E80,0x60,0x00105EE0,code,spimdisasm-explicit-size-before-first-data
func_00105EE0,0x00105EE0,0x1C,0x00105EFC,code,spimdisasm-explicit-size-before-first-data
func_00105F00,0x00105F00,0xC,0x00105F0C,code,spimdisasm-explicit-size-before-first-data
func_00105F10,0x00105F10,0x18,0x00105F28,code,spimdisasm-explicit-size-before-first-data
func_00105F28,0x00105F28,0x1C,0x00105F44,code,spimdisasm-explicit-size-before-first-data
func_00105F48,0x00105F48,0xC,0x00105F54,code,spimdisasm-explicit-size-before-first-data
func_00105F58,0x00105F58,0x280,0x001061D8,code,spimdisasm-explicit-size-before-first-data
func_001061D8,0x001061D8,0x34,0x0010620C,code,spimdisasm-explicit-size-before-first-data
func_00106210,0x00106210,0x18,0x00106228,code,spimdisasm-explicit-size-before-first-data
func_00106228,0x00106228,0x18,0x00106240,code,spimdisasm-explicit-size-before-first-data
func_00106240,0x00106240,0x2C,0x0010626C,code,spimdisasm-explicit-size-before-first-data
